"time","DC Current","AC Current"
1786826398900,0,0
1786826398926,0,0
1786826398952,0,0
1786826398978,0,0
1786826399004,0,0
1786826399030,0,0
1786826399056,0,0
1786826399082,0,0
1786826399108,0,0
1786826399134,0,0
1786826399160,0,0
1786826399186,0,0
1786826399212,0,0
1786826399238,0,0
1786826399264,0,0
1786826399290,0,0
1786826399316,0,0
1786826399342,0,0
1786826399368,0,0
1786826399394,0,0
1786826399420,0,0
1786826399446,0,0
1786826399472,0,0
1786826399498,0,0
1786826399524,0,0
1786826399550,0,0
1786826399576,0,0
1786826399602,0,0
1786826399628,0,0
1786826399655,0,0
1786826399681,0,0
1786826399707,0,0
1786826399733,0,0
1786826399759,0,0
1786826399785,0,0
1786826399811,0,0
1786826399837,0,0
1786826399863,0,0
1786826399889,0,0
1786826399915,0,0
1786826399941,0,0
1786826399967,0,0
1786826399993,0,0
1786826400020,0,0
1786826400046,0,0
1786826400072,0,0
1786826400098,0,0
1786826400124,0,0
1786826400150,0,0
1786826400176,0,0
1786826400202,0,0
1786826400228,0,0
1786826400254,0,0
1786826400281,0,0
1786826400307,0,0
1786826400333,0,0
1786826400359,0,0
1786826400385,0,0
1786826400411,0,0
1786826400438,0,0
1786826400464,0,0
1786826400490,0,0
1786826400516,0,0
1786826400542,0,0
1786826400568,0,0
1786826400594,0,0
1786826400620,0,0
1786826400646,0,0
1786826400672,0,0
1786826400698,0,0
1786826400724,0,0
1786826400750,0,0
1786826400776,0,0
1786826400802,0,0
1786826400828,0,0
1786826400854,0,0
1786826400880,0,0
1786826400906,0,0
1786826400933,0,0
1786826400959,0,0
1786826400985,0,0
1786826401011,0,0
1786826401037,0,0
1786826401063,0,0
1786826401089,0,0
1786826401115,0,0
1786826401141,0,0
1786826401167,0,0
1786826401193,0,0
1786826401220,0,0
1786826401246,0,0
1786826401272,0,0
1786826401298,0,0
1786826401324,0,0
1786826401350,0,0
1786826401376,0,0
1786826401402,0,0
1786826401428,0,0
1786826401454,0,0
1786826401480,0,0
1786826401506,0,0
1786826401532,0,0
1786826401558,0,0
1786826401585,0,0
1786826401611,0,0
1786826401637,0,0
1786826401663,0,0
1786826401689,0,0
1786826401715,0,0
1786826401741,0,0
1786826401768,0,0
1786826401794,0,0
1786826401820,0,0
1786826401846,0,0
1786826401873,0,0
1786826401898,0,0
1786826401924,0,0
1786826401950,0,0
1786826401977,0,0
1786826402003,0,0
1786826402029,0,0
1786826402055,0,0
1786826402081,0,0
1786826402107,0,0
1786826402133,0,0
1786826402159,0,0
1786826402185,0,0
1786826402211,0,0
1786826402237,0,0
1786826402264,0,0
1786826402290,0,0
1786826402316,0,0
1786826402342,0,0
1786826402368,0,0
1786826402394,0,0
1786826402420,0,0
1786826402447,0,0
1786826402473,0,0
1786826402499,0,0
1786826402525,0,0
1786826402551,0,0
1786826402577,0,0
1786826402603,0,0
1786826402629,0,0
1786826402655,0,0
1786826402682,0,0
1786826402708,0,0
1786826402734,0,0
1786826402760,0,0
1786826402786,0,0
1786826402812,0,0
1786826402838,0,0
1786826402864,0,0
1786826402890,0,0
1786826402916,0,0
1786826402942,0,0
1786826402968,0,0
1786826402994,0,0
1786826403020,0,0
1786826403046,0,0
1786826403073,0,0
1786826403099,0,0
1786826403125,0,0
1786826403151,0,0
1786826403177,0,0
1786826403203,0,0
1786826403229,0,0
1786826403255,0,0
1786826403282,0,0
1786826403308,0,0
1786826403334,0,0
1786826403360,0,0
1786826403386,0,0
1786826403412,0,0
1786826403438,0,0
1786826403465,0,0
1786826403491,0,0
1786826403517,0,0
1786826403543,0,0
1786826403569,0,0
1786826403595,0,0
1786826403621,0,0
1786826403647,0,0
1786826403673,0,0
1786826403699,0,0
1786826403725,0,0
1786826403751,0,0
1786826403777,0,0
1786826403803,0,0
1786826403829,0,0
1786826403855,0,0
1786826403881,0,0
1786826403907,0,0
1786826403933,0,0
1786826403960,0,0
1786826403986,0,0
1786826404012,0,0
1786826404038,0,0
1786826404064,0,0
1786826404090,0,0
1786826404116,0,0
1786826404142,0,0
1786826404168,0,0
1786826404194,0,0
1786826404220,0,0
1786826404246,0,0
1786826404272,0,0
1786826404298,0,0
1786826404324,0,0
1786826404350,0,0
1786826404377,0,0
1786826404403,0,0
1786826404429,0,0
1786826404455,0,0
1786826404481,0,0
1786826404507,0,0
1786826404533,0,0
1786826404559,0,0
1786826404585,0,0
1786826404612,0,0
1786826404638,0,0
1786826404664,0,0
1786826404690,0,0
1786826404716,0,0
1786826404742,0,0
1786826404768,0,0
1786826404794,0,0
1786826404820,0,0
1786826404846,0,0
1786826404872,0,0
1786826404898,0,0
1786826404924,0,0
1786826404950,0,0
1786826404976,0,0
1786826405002,0,0
1786826405028,0,0
1786826405054,0,0
1786826405080,0,0
1786826405106,0,0
1786826405132,0,0
1786826405158,0,0
1786826405184,0,0
1786826405210,0,0
1786826405236,0,0
1786826405263,0,0
1786826405289,0,0
1786826405315,0,0
1786826405341,0,0
1786826405367,0,0
1786826405393,0,0
1786826405419,0,0
1786826405445,0,0
1786826405471,0,0
1786826405497,0,0
1786826405523,0,0
1786826405549,0,0
1786826405575,0,0
1786826405601,0,0
1786826405627,0,0
1786826405653,0,0
1786826405679,0,0
1786826405705,0,0
1786826405731,0,0
1786826405758,0,0
1786826405784,0,0
1786826405810,0,0
1786826405836,0,0
1786826405862,0,0
1786826405888,0,0
1786826405914,0,0
1786826405940,0,0
1786826405966,0,0
1786826405992,0,0
1786826406018,0,0
1786826406044,0,0
1786826406070,0,0
1786826406097,0,0
1786826406123,0,0
1786826406149,0,0
1786826406175,0,0
1786826406201,0,0
1786826406227,0,0
1786826406253,0,0
1786826406279,0,0
1786826406305,0,0
1786826406331,0,0
1786826406357,0,0
1786826406383,0,0
1786826406409,0,0
1786826406436,0,0
1786826406462,0,0
1786826406488,0,0
1786826406514,0,0
1786826406540,0,0
1786826406566,0,0
1786826406592,0,0
1786826406618,0,0
1786826406644,0,0
1786826406671,0,0
1786826406697,0,0
1786826406723,0,0
1786826406749,0,0
1786826406775,0,0
1786826406801,0,0
1786826406827,0,0
1786826406853,0,0
1786826406879,0,0
1786826406905,0,0
1786826406931,0,0
1786826406957,0,0
1786826406983,0,0
1786826407009,0,0
1786826407035,0,0
1786826407061,0,0
1786826407087,0,0
1786826407113,0,0
1786826407140,0,0
1786826407166,0,0
1786826407192,0,0
1786826407218,0,0
1786826407244,0,0
1786826407270,0,0
1786826407296,0,0
1786826407322,0,0
1786826407348,0,0
1786826407374,0,0
1786826407400,0,0
1786826407426,0,0
1786826407452,0,0
1786826407479,0,0
1786826407505,0,0
1786826407531,0,0
1786826407557,0,0
1786826407584,0,0
1786826407610,0,0
1786826407636,0,0
1786826407663,0,0
1786826407689,0,0
1786826407715,0,0
1786826407741,0,0
1786826407767,0,0
1786826407793,0,0
1786826407819,0,0
1786826407845,0,0
1786826407871,0,0
1786826407897,0,0
1786826407923,0,0
1786826407949,0,0
1786826407975,0,0
1786826408001,0,0
1786826408027,0,0
1786826408054,0,0
1786826408080,0,0
1786826408106,0,0
1786826408132,0,0
1786826408158,0,0
1786826408184,0,0
1786826408210,0,0
1786826408236,0,0
1786826408262,0,0
1786826408289,0,0
1786826408315,0,0
1786826408341,0,0
1786826408367,0,0
1786826408393,0,0
1786826408419,0,0
1786826408445,0,0
1786826408471,0,0
1786826408497,0,0
1786826408523,0,0
1786826408549,0,0
1786826408575,0,0
1786826408602,0,0
1786826408628,0,0
1786826408654,0,0
1786826408680,0,0
1786826408706,0,0
1786826408732,0,0
1786826408758,0,0
1786826408784,0,0
1786826408810,0,0
1786826408836,0,0
1786826408863,0,0
1786826408889,0,0
1786826408915,0,0
1786826408941,0,0
1786826408967,0,0
1786826408993,0,0
1786826409019,0,0
1786826409045,0,0
1786826409071,0,0
1786826409097,0,0
1786826409123,0,0
1786826409149,0,0
1786826409175,0,0
1786826409201,0,0
1786826409228,0,0
1786826409254,0,0
1786826409280,0,0
1786826409306,0,0
1786826409332,0,0
1786826409358,0,0
1786826409384,0,0
