"DTI Voltage","time"
491,1786826019271
493,1786826019297
492,1786826019323
494,1786826019349
494,1786826019375
493,1786826019401
493,1786826019428
492,1786826019454
492,1786826019480
492,1786826019506
491,1786826019532
493,1786826019558
492,1786826019584
492,1786826019611
493,1786826019637
492,1786826019663
492,1786826019689
491,1786826019715
492,1786826019741
492,1786826019768
492,1786826019794
492,1786826019820
490,1786826019846
490,1786826019872
491,1786826019898
490,1786826019924
489,1786826019951
488,1786826019977
486,1786826020003
488,1786826020029
488,1786826020055
489,1786826020082
488,1786826020108
489,1786826020134
487,1786826020160
488,1786826020187
487,1786826020213
487,1786826020239
488,1786826020265
488,1786826020291
487,1786826020317
488,1786826020343
489,1786826020369
488,1786826020395
488,1786826020421
487,1786826020448
486,1786826020474
486,1786826020500
486,1786826020526
486,1786826020553
487,1786826020579
487,1786826020605
485,1786826020631
485,1786826020657
486,1786826020683
486,1786826020710
485,1786826020736
485,1786826020762
485,1786826020788
484,1786826020814
484,1786826020840
485,1786826020867
485,1786826020893
484,1786826020919
485,1786826020945
485,1786826020971
485,1786826020997
484,1786826021023
484,1786826021049
485,1786826021075
484,1786826021101
485,1786826021127
485,1786826021153
487,1786826021179
487,1786826021205
486,1786826021231
486,1786826021257
485,1786826021283
485,1786826021310
485,1786826021336
485,1786826021362
486,1786826021388
486,1786826021414
487,1786826021440
486,1786826021466
487,1786826021493
486,1786826021519
488,1786826021545
487,1786826021571
487,1786826021597
489,1786826021623
490,1786826021649
489,1786826021675
490,1786826021701
490,1786826021728
491,1786826021754
490,1786826021780
491,1786826021806
490,1786826021832
490,1786826021858
488,1786826021884
488,1786826021911
489,1786826021937
488,1786826021963
486,1786826021989
488,1786826022015
486,1786826022041
487,1786826022068
489,1786826022093
488,1786826022119
489,1786826022145
490,1786826022171
491,1786826022198
490,1786826022224
490,1786826022250
489,1786826022276
490,1786826022302
491,1786826022328
490,1786826022354
490,1786826022380
490,1786826022406
491,1786826022432
490,1786826022458
490,1786826022485
490,1786826022511
491,1786826022537
492,1786826022563
491,1786826022589
