"voltage","time"
25.191,1786825814208
25.191,1786825814096
25.191,1786825813862
25.191,1786825813750
25.191,1786825813638
25.191,1786825813521
25.191,1786825813409
25.164,1786825813297
25.164,1786825813064
25.164,1786825812948
25.164,1786825812836
25.164,1786825812724
25.164,1786825812603
25.164,1786825812491
25.164,1786825812374
25.164,1786825812262
25.164,1786825812149
25.209,1786825812025
25.209,1786825811913
25.209,1786825811796
25.209,1786825811572
25.209,1786825811450
25.209,1786825811338
25.209,1786825811221
25.209,1786825810996
25.281,1786825810762
25.281,1786825810648
25.281,1786825810537
25.281,1786825810425
25.281,1786825810303
25.281,1786825810191
25.281,1786825810074
25.281,1786825809962
25.281,1786825809850
25.2,1786825809728
25.2,1786825809616
25.2,1786825809499
25.2,1786825809387
25.2,1786825809275
25.2,1786825809153
25.2,1786825809041
25.2,1786825808925
25.2,1786825808813
25.2,1786825808701
25.182,1786825808579
25.182,1786825808467
25.182,1786825808351
25.182,1786825808239
25.182,1786825808127
25.182,1786825807893
25.182,1786825807778
25.182,1786825807666
25.182,1786825807554
25.182,1786825807442
25.191,1786825807203
25.191,1786825807091
25.191,1786825806979
25.191,1786825806866
25.191,1786825806744
25.191,1786825806628
25.191,1786825806516
25.191,1786825806404
25.191,1786825806292
25.245,1786825806170
25.245,1786825806053
25.245,1786825805941
25.245,1786825805829
25.245,1786825805717
25.245,1786825805595
25.245,1786825805478
25.245,1786825805366
25.245,1786825805254
25.245,1786825805142
25.218,1786825805020
25.218,1786825804903
25.218,1786825804791
25.218,1786825804679
25.218,1786825804567
25.218,1786825804329
25.218,1786825804217
25.218,1786825804105
25.218,1786825803993
25.173,1786825803753
25.173,1786825803641
25.173,1786825803416
25.173,1786825803178
25.173,1786825803067
25.173,1786825802954
25.173,1786825802842
25.128,1786825802730
25.128,1786825802604
25.128,1786825802492
25.128,1786825802268
25.128,1786825802156
25.128,1786825802030
25.128,1786825801918
25.128,1786825801806
25.128,1786825801693
25.128,1786825801582
25.182,1786825801455
25.182,1786825801343
25.182,1786825801231
25.182,1786825801119
25.182,1786825801007
25.182,1786825800880
25.182,1786825800770
25.182,1786825800546
25.182,1786825800434
25.182,1786825800310
25.182,1786825800198
25.182,1786825800086
25.182,1786825799862
25.182,1786825799736
25.182,1786825799624
25.182,1786825799512
25.182,1786825799288
25.182,1786825799161
25.182,1786825799049
25.182,1786825798937
25.182,1786825798713
25.182,1786825798589
25.182,1786825798365
25.182,1786825798253
25.182,1786825798141
25.218,1786825798014
25.218,1786825797902
25.218,1786825797790
25.218,1786825797678
25.218,1786825797566
25.218,1786825797449
25.218,1786825797327
25.218,1786825797215
25.218,1786825797103
25.218,1786825796874
25.227,1786825796752
25.227,1786825796640
25.227,1786825796528
25.227,1786825796416
25.227,1786825796298
25.227,1786825796064
25.227,1786825795952
25.227,1786825795840
25.227,1786825795726
25.182,1786825795604
25.182,1786825795492
25.182,1786825795380
25.182,1786825795268
25.182,1786825795152
25.182,1786825795030
25.182,1786825794918
25.182,1786825794806
25.182,1786825794694
25.182,1786825794577
25.2,1786825794455
25.2,1786825794233
25.2,1786825794121
25.2,1786825793881
25.2,1786825793769
25.2,1786825793659
25.2,1786825793545
25.2,1786825793431
25.164,1786825793307
25.164,1786825793195
25.164,1786825793083
25.164,1786825792971
25.164,1786825792855
25.164,1786825792733
25.164,1786825792621
25.164,1786825792509
25.164,1786825792401
25.164,1786825792284
25.182,1786825792172
25.182,1786825792050
25.182,1786825791936
25.182,1786825791828
25.182,1786825791711
25.182,1786825791599
25.182,1786825791477
25.182,1786825791253
25.182,1786825791137
25.245,1786825790902
25.245,1786825790678
25.245,1786825790561
25.245,1786825790449
25.245,1786825790327
25.245,1786825790215
25.245,1786825790103
25.245,1786825789987
25.245,1786825789875
25.245,1786825789753
25.245,1786825789641
25.245,1786825789529
25.245,1786825789413
25.245,1786825789301
25.245,1786825789179
25.245,1786825789068
25.245,1786825788957
25.245,1786825788839
25.245,1786825788727
25.2,1786825788605
25.2,1786825788493
25.2,1786825788381
25.2,1786825788266
25.2,1786825788156
25.2,1786825788034
25.2,1786825787922
25.2,1786825787810
25.2,1786825787694
25.2,1786825787582
25.209,1786825787460
25.209,1786825787348
25.209,1786825787236
25.209,1786825787120
25.209,1786825787008
25.209,1786825786896
25.209,1786825786773
25.209,1786825786661
25.209,1786825786545
25.209,1786825786433
25.209,1786825786321
25.209,1786825786199
25.209,1786825786087
25.209,1786825785971
25.209,1786825785859
25.209,1786825785746
25.209,1786825785622
25.209,1786825785510
25.209,1786825785394
25.209,1786825785048
25.209,1786825784936
25.209,1786825784822
25.209,1786825784710
25.209,1786825784598
25.209,1786825784476
25.209,1786825784364
25.209,1786825784249
25.209,1786825784137
25.209,1786825784025
25.191,1786825783903
25.191,1786825783793
25.191,1786825783677
25.191,1786825783565
25.191,1786825783453
25.191,1786825783331
25.191,1786825783219
25.191,1786825783103
25.191,1786825782991
25.191,1786825782879
25.191,1786825782757
25.191,1786825782645
25.191,1786825782418
25.191,1786825782306
25.191,1786825782184
25.191,1786825782072
25.191,1786825781843
25.191,1786825781731
25.218,1786825781619
25.218,1786825781497
25.218,1786825781381
25.218,1786825781269
25.218,1786825781157
25.218,1786825781043
25.218,1786825780924
25.218,1786825780807
25.218,1786825780695
25.218,1786825780583
25.218,1786825780471
25.218,1786825780349
25.218,1786825780233
25.218,1786825780121
25.218,1786825780009
25.218,1786825779895
25.218,1786825779776
25.218,1786825779659
25.218,1786825779436
25.218,1786825779322
25.191,1786825779203
25.191,1786825779086
25.191,1786825778974
25.191,1786825778862
25.191,1786825778748
25.191,1786825778629
25.191,1786825778512
25.191,1786825778400
25.191,1786825778288
25.191,1786825778174
25.227,1786825777938
25.227,1786825777826
25.227,1786825777600
25.227,1786825777480
25.227,1786825777364
25.227,1786825777251
25.227,1786825777139
25.227,1786825777025
25.263,1786825776915
25.263,1786825776789
25.263,1786825776677
25.263,1786825776565
25.263,1786825776339
25.263,1786825776213
25.263,1786825776103
25.263,1786825775991
